
248,18,306,18,306,51,248,51,The,WOR
315,19,406,19,406,51,315,51,Greedy,WOR
415,19,506,19,506,49,415,51,Friends,WOR
587,11,660,10,660,33,587,33,@Stylish,WOR
665,10,725,10,726,33,665,33,Writer,WOR
114,112,173,112,173,139,114,139,Once,WOR
188,112,247,111,247,138,188,139,upon,WOR
261,111,278,111,278,138,261,138,a,WOR
285,111,358,110,358,137,285,138,time,,WOR
369,110,430,109,430,136,369,137,there,WOR
436,109,498,108,498,135,436,136,lived,WOR
509,108,571,107,571,134,509,135,three,WOR
586,107,662,106,662,132,586,133,friends,WOR
74,154,99,154,99,181,74,181,in,WOR
114,154,131,154,131,181,114,181,a,WOR
153,154,250,154,250,181,153,181,village.,WOR
261,154,318,154,318,181,261,181,They,WOR
336,154,389,153,390,181,336,181,were,WOR
401,153,450,153,451,180,401,181,very,WOR
458,153,518,152,519,179,458,180,poor.,WOR
526,152,587,151,587,178,526,179,They,WOR
598,150,683,149,684,176,598,178,decided,WOR
77,198,106,198,106,224,77,224,to,WOR
125,198,154,197,154,223,126,224,go,WOR
174,197,203,197,203,223,174,223,to,WOR
219,197,268,197,268,222,219,223,city,WOR
281,197,307,196,307,222,281,222,to,WOR
320,196,372,196,371,221,320,222,earn,WOR
391,196,472,196,472,220,391,221,money.,WOR
495,196,550,195,549,219,495,220,When,WOR
567,195,618,195,617,219,566,219,they,WOR
638,195,683,195,682,218,637,218,were,WOR
93,242,178,239,178,264,92,266,Walking,WOR
192,239,284,237,284,263,191,264,through,WOR
298,237,338,236,337,262,298,262,the,WOR
351,236,434,235,433,261,351,262,forest,,WOR
444,235,500,235,500,261,444,261,they,WOR
514,235,580,235,579,261,513,261,found,WOR
593,236,609,236,609,261,593,261,a,WOR
630,236,672,237,672,261,630,261,bag,WOR
85,284,115,283,114,308,84,308,of,WOR
135,282,217,280,217,306,134,307,money.,WOR
234,279,293,278,293,305,234,305,They,WOR
307,278,393,277,393,304,307,304,decided,WOR
410,277,436,277,436,303,410,303,to,WOR
446,277,516,278,516,303,446,303,divide,WOR
526,278,565,278,565,303,526,303,the,WOR
582,279,648,280,648,304,582,303,money,WOR
