
244,103,386,99,389,245,247,238,We,WOR
415,99,717,98,717,254,417,246,Start,WOR
776,99,1014,105,1012,254,776,254,With,WOR
1043,106,1325,120,1321,249,1041,254,Good,WOR
260,388,555,389,557,466,262,467,Because,WOR
596,389,703,388,706,464,598,466,all,WOR
744,388,1127,381,1131,454,747,463,businesses,WOR
1168,380,1394,374,1398,445,1172,453,should,WOR
269,518,353,516,357,587,274,588,be,WOR
382,515,588,512,592,584,386,587,doing,WOR
627,511,1022,508,1024,580,630,583,something,WOR
1089,508,1314,509,1315,580,1090,580,good.,WOR
