
34,44,66,44,65,100,34,99,a,WOR
221,40,264,37,264,109,221,106,-,WOR
307,33,402,28,402,121,307,113,an,WOR
427,16,482,16,483,104,427,104,=,WOR
507,15,623,15,624,103,508,103,On,WOR
82,85,190,79,193,126,85,132,n+1,WOR
361,91,383,92,380,130,358,128,n,WOR
247,212,370,219,364,301,244,293,2+,WOR
404,222,452,225,446,305,398,304,a,WOR
543,248,586,238,583,287,541,278,~,WOR
632,229,676,223,671,304,628,296,a,WOR
788,236,898,219,896,296,787,288,20,WOR
475,288,499,290,495,326,471,324,n,WOR
694,284,720,287,717,327,691,324,n,WOR
239,419,370,424,367,524,235,519,2+,WOR
392,425,507,429,503,526,388,525,an,WOR
538,443,573,443,568,501,534,500,=,WOR
636,444,670,445,666,506,632,504,a,WOR
694,496,714,496,711,531,691,529,n,WOR
19,637,372,636,368,712,19,711,=2+a,WOR
652,596,681,597,678,647,649,645,2,WOR
401,643,483,646,482,706,401,707,.=,WOR
548,648,583,649,581,709,546,708,a,WOR
388,698,409,698,407,735,387,734,n,WOR
610,695,637,698,631,739,605,735,n,WOR
272,791,298,793,295,842,270,840,2,WOR
176,842,209,842,209,901,176,901,a,WOR
425,818,470,819,464,909,418,910,a,WOR
540,822,596,823,591,905,535,907,-,WOR
632,823,687,823,684,904,627,905,2,WOR
712,823,767,820,764,905,708,904,=,WOR
792,818,847,816,845,906,789,905,0,WOR
224,893,245,893,243,930,221,928,n,WOR
482,893,506,893,505,931,481,930,n,WOR
